Frame Number,Equation Line AB,Equation Line AC,Angle A,Angle B,Angle C
171,y = 1.52x + 66.01,y = 0.02x + 342.38,88.0014557878252,66.89190492585327,25.106639286321546
172,y = 1.46x + 77.66,y = 0.02x + 342.32,87.89374600162081,67.04903383343552,25.05722016494368
173,y = 1.42x + 84.60,y = 0.02x + 342.25,87.79680865038274,67.3062526357499,24.896938713867357
174,y = 1.41x + 86.99,y = 0.02x + 342.22,87.76674677316599,67.35399641670799,24.879256810126027
175,y = 1.40x + 88.51,y = 0.02x + 342.17,87.73017840370653,67.47193512337627,24.797886472917195
176,y = 1.39x + 90.71,y = 0.02x + 342.13,87.77227065770717,66.72298568479856,25.504743657494274
177,y = 1.39x + 91.04,y = 0.02x + 342.08,87.76156919214756,66.67698449514175,25.561446312710693
178,y = 1.39x + 90.15,y = 0.02x + 342.06,87.800699859753,66.25151346163067,25.94778667861635
179,y = 1.41x + 87.14,y = 0.02x + 342.06,87.82552818341962,66.21797959442388,25.956492222156513
180,y = 1.41x + 86.42,y = 0.02x + 342.05,87.85784246374422,65.8795886113893,26.26256892486649
181,y = 1.09x + 147.26,y = 0.03x + 341.60,86.77172634220427,68.8113988754039,24.41687478239184
182,y = 1.08x + 149.29,y = 0.03x + 341.67,86.53537821359998,70.31111812701151,23.153503659388523
183,y = 1.07x + 150.73,y = 0.03x + 341.72,86.43378008543421,70.89241240218438,22.673807512381433
184,y = 0.96x + 170.97,y = 0.03x + 341.30,85.73339686720401,72.04883011701126,22.21777301578473
185,y = 0.98x + 167.50,y = 0.03x + 341.43,85.89479367183336,71.68011549765458,22.425090830512072
186,y = 0.93x + 177.07,y = 0.03x + 341.10,85.49839754192801,72.03106767907745,22.470534778994534
187,y = 0.95x + 172.29,y = 0.03x + 341.23,85.63745252866906,72.00221502598885,22.360332445342095
188,y = 0.93x + 176.78,y = 0.03x + 340.98,85.42615428002203,72.06623910737775,22.50760661260022
189,y = 0.96x + 170.39,y = 0.03x + 341.11,85.64919510496803,71.76184801083191,22.58895688420007
190,y = 0.99x + 165.85,y = 0.03x + 341.17,85.7742710398392,71.60183899015458,22.623889970006203
